,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
385,manawar,87,IN,1563081765,56,22.23,75.09,303.497,9.21
386,payakumbuh,63,ID,1563081766,67,-0.23,100.63,299.497,1.11
387,srandakan,5,ID,1563081767,76,-7.94,110.25,297.397,9.27
388,lazi,0,HR,1563081767,68,45.57,14.64,297.04,2.1
389,peddapalli,96,IN,1563081768,62,18.61,79.38,303.597,6.47
390,catanzaro,20,IT,1563081768,83,38.91,16.6,295.37,2.1
391,yulara,0,AU,1563081682,30,-25.24,130.99,288.15,6.7
392,te anau,100,NZ,1563081769,80,-45.41,167.72,278.297,2.13
393,cayenne,0,GF,1563081770,94,4.94,-52.33,297.15,0.9
394,rio grande,71,BR,1563081845,90,-32.03,-52.1,282.997,1.62
395,margate,75,AU,1563081846,65,-43.03,147.26,280.15,8.7
396,padang,47,ID,1563081846,79,-0.92,100.36,301.297,5.33
397,zhanakorgan,0,KZ,1563081847,10,43.91,67.25,311.497,9.51
398,huarmey,71,PE,1563081847,86,-10.07,-78.15,289.897,7.19
399,jinchang,100,CN,1563081848,34,38.52,102.19,291.797,1.72
400,flinders,22,AU,1563081849,46,-34.58,150.85,287.59,12.3
401,tianpeng,15,CN,1563081849,62,28.88,112.34,303.397,1.3
402,lovozero,100,RU,1563081850,88,68.01,35.02,279.697,2.34
403,lisakovsk,10,KZ,1563081850,36,52.55,62.49,303.097,5.2
404,coruripe,29,BR,1563081851,95,-10.12,-36.18,293.297,0.84
405,nouadhibou,0,MR,1563081851,83,20.93,-17.03,294.15,9.3
406,jardim,9,BR,1563081852,61,-21.48,-56.15,291.397,0.79
407,camacupa,0,AO,1563081852,37,-12.02,17.48,284.697,1.04
408,nantucket,1,US,1563081693,83,41.28,-70.1,296.15,3.6
409,talnakh,90,RU,1563081853,87,69.49,88.39,286.15,4.0
410,punta cardon,31,VE,1563081854,85,11.61,-70.22,299.297,11.23
411,gidam,92,IN,1563081855,86,18.98,81.4,298.397,3.08
412,hobro,90,DK,1563081855,93,56.64,9.79,287.04,3.6
413,warren,1,US,1563081805,73,42.48,-83.03,297.15,3.6
414,banff,66,CA,1563081856,92,51.18,-115.57,277.697,0.6
415,vila velha,0,BR,1563081856,78,-3.71,-38.6,298.15,3.1
416,okhotsk,100,RU,1563081857,83,59.36,143.24,287.197,7.35
417,sidi ali,0,DZ,1563081857,62,36.1,0.42,297.297,4.65
418,chapais,90,CA,1563081858,82,49.78,-74.86,288.15,4.1
419,xuddur,100,SO,1563081858,61,4.12,43.89,298.797,8.75
420,lexington,20,US,1563081792,73,38.05,-84.5,298.15,4.6
421,chunskiy,100,RU,1563081859,51,56.08,99.63,295.697,0.43
422,vostok,99,RU,1563081860,71,46.45,135.83,293.297,2.16
423,verkhnetulomskiy,75,RU,1563081860,93,68.61,31.8,279.15,2.0
424,ust-kalmanka,13,RU,1563081861,46,52.12,83.31,298.897,7.04
425,shumskiy,100,RU,1563081861,99,54.83,99.13,285.897,1.16
426,petropavlovsk-kamchatskiy,0,RU,1563081862,68,53.05,158.65,291.15,6.0
427,lockport,40,CA,1563081862,83,50.09,-96.94,296.15,4.6
428,palimbang,75,PH,1563081863,62,14.9,120.78,305.15,1.0
429,eirunepe,54,BR,1563081863,98,-6.66,-69.87,294.297,0.72
430,hobyo,100,SO,1563081864,54,5.35,48.53,302.297,9.44
431,ostrovnoy,90,RU,1563081864,82,68.05,39.51,280.397,4.1
432,brunswick,75,DE,1563081865,93,52.26,10.53,287.04,2.6
433,ballinasloe,0,IE,1563081865,94,53.33,-8.22,284.197,1.33
434,mitchell,1,US,1563081866,78,43.71,-98.03,298.15,4.1
435,oranjemund,0,ZA,1563081866,91,-28.55,16.43,285.597,3.98
436,makakilo city,20,US,1563081867,54,21.35,-158.09,302.15,7.2
437,taoudenni,0,ML,1563081868,34,22.68,-3.98,306.297,4.44
438,comodoro rivadavia,0,AR,1563081868,57,-45.87,-67.48,282.15,4.1
439,meulaboh,77,ID,1563081679,69,4.14,96.13,301.597,0.73
440,lagunillas,100,VE,1563081869,81,8.5,-71.39,291.997,1.59
441,adrar,0,DZ,1563081869,8,27.87,-0.29,303.15,4.1
442,vila franca do campo,75,PT,1563081870,94,37.72,-25.43,294.15,2.1
443,san cristobal,15,HN,1563081871,92,14.68,-86.92,291.997,2.84
444,mokhsogollokh,19,RU,1563081871,39,61.4,128.95,303.597,0.66
445,kodiak,1,US,1563081872,39,39.95,-94.76,299.15,2.1
446,praia,0,BR,1563081872,87,-20.25,-43.81,286.15,0.4
447,gerash,75,IR,1563081873,34,27.67,54.14,308.15,2.1
448,rocha,2,UY,1563081786,96,-34.48,-54.34,279.297,1.75
449,shirokiy,63,RU,1563081875,68,53.87,39.17,289.26,1.59
450,caraballeda,40,VE,1563081875,73,10.61,-66.85,298.15,2.28
451,den helder,90,NL,1563081838,93,52.96,4.76,288.15,2.6
452,santo tomas,75,PH,1563081876,74,7.53,125.62,302.15,4.1
453,ternovka,19,RU,1563081877,73,51.69,41.59,291.397,2.31
454,galiakot,69,IN,1563081877,54,23.54,74.01,304.397,9.15
455,balashov,51,RU,1563081878,75,51.54,43.17,292.59,0.89
456,becal,75,MX,1563081878,65,20.44,-90.03,301.15,5.1
457,ust-nera,54,RU,1563081879,36,64.57,143.24,297.697,3.1
458,limbang,75,BN,1563081879,66,4.75,115.01,303.15,5.7
459,evensk,41,RU,1563081880,78,61.92,159.24,288.897,3.25
460,pueblo,1,US,1563081880,36,38.25,-104.61,299.15,6.2
461,guane,83,CU,1563081881,76,22.2,-84.09,301.097,2.85
462,puqi,79,CN,1563081881,71,29.72,113.88,301.897,0.66
463,luanda,99,AO,1563081882,94,-8.83,13.24,293.15,2.1
464,pierre,1,US,1563081620,83,44.37,-100.35,297.04,4.1
465,turukhansk,66,RU,1563081643,58,65.8,87.96,291.597,5.51
466,dryden,1,CA,1563081883,72,49.79,-92.84,292.15,3.1
467,aksarka,81,RU,1563081884,68,66.56,67.8,297.897,7.13
468,manhattan,1,US,1563081884,88,39.18,-96.57,297.59,2.98
469,umea,100,SE,1563081732,76,63.83,20.26,287.15,1.0
470,palmas,0,BR,1563081885,68,-10.18,-48.33,293.15,1.5
471,plouzane,90,FR,1563081886,93,48.38,-4.62,288.15,2.1
472,mosquera,75,CO,1563081657,67,4.71,-74.23,287.15,2.6
473,plymouth,40,GB,1563081886,93,50.37,-4.14,288.15,2.1
474,mountain home,40,US,1563081887,28,43.13,-115.69,302.15,2.6
475,chifeng,6,CN,1563081887,34,42.27,118.96,300.097,3.6
476,saint anthony,75,US,1563081888,43,43.97,-111.68,295.15,9.8
477,takoradi,16,GH,1563081888,95,4.89,-1.75,294.297,0.87
478,hranice,20,CZ,1563081889,82,49.55,17.73,289.82,2.6
479,shimoda,75,JP,1563081890,94,34.7,138.93,299.26,3.6
480,mapiri,67,BO,1563081890,88,-15.31,-68.22,281.897,1.92
481,kodinsk,100,RU,1563081891,25,58.6,99.18,302.597,2.17
482,santa maria del oro,69,MX,1563081891,52,25.95,-105.37,295.097,0.21
483,nazca,29,PE,1563081892,92,-14.83,-74.94,284.197,3.73
484,san ignacio,90,PE,1563081892,98,-5.15,-79.0,288.397,0.59
485,araouane,91,ML,1563081893,47,18.9,-3.53,304.197,7.35
486,kungsbacka,74,SE,1563081893,94,57.49,12.08,289.82,1.34
487,providencia,80,CO,1563081894,88,1.24,-77.6,284.497,1.51
488,oyama,90,JP,1563081894,94,36.31,139.8,297.04,5.7
489,pangody,97,RU,1563081895,43,65.85,74.49,296.897,10.31
490,victoria,75,BN,1563081895,70,5.28,115.24,303.15,1.5
491,talcahuano,90,CL,1563081897,93,-36.72,-73.12,284.15,2.1
492,bilma,8,NE,1563081897,28,18.69,12.92,305.097,2.56
493,sergeyevka,0,KZ,1563081898,57,53.88,67.42,298.797,4.95
494,manado,20,ID,1563081898,58,1.49,124.85,304.15,3.6
495,laurel,0,US,1563081899,100,39.1,-76.85,299.26,1.13
496,pahrump,1,US,1563081818,10,36.21,-115.98,309.26,4.6
497,vizinga,31,RU,1563081899,44,61.08,50.08,292.897,1.31
498,nemuro,75,JP,1563081820,100,43.32,145.57,289.15,4.1
499,teguldet,0,RU,1563081901,42,57.31,88.17,298.097,4.7
500,san juan de los morros,65,VE,1563081893,96,9.91,-67.35,292.297,1.03
501,bathsheba,40,BB,1563081902,74,13.22,-59.52,300.15,5.7
502,manokwari,92,ID,1563081638,72,-0.87,134.08,298.297,1.73
503,honningsvag,100,NO,1563081903,83,70.98,25.97,280.397,2.7
504,la ciotat,0,FR,1563081904,52,43.17,5.6,296.48,3.1
505,morro bay,1,US,1563081904,87,35.37,-120.85,294.26,2.1
506,xaltocan,100,MX,1563081905,92,19.42,-98.21,284.097,1.13
507,thinadhoo,5,MV,1563081905,76,0.53,72.93,301.997,5.55
508,straumen,75,NO,1563081618,71,63.87,11.3,284.26,5.1
509,quatre cocos,40,MU,1563081906,56,-20.21,57.76,296.15,3.6
510,thayetmyo,100,MM,1563081907,86,19.32,95.18,299.497,1.57
511,asmara,51,ER,1563081907,77,15.34,38.93,295.897,2.01
512,abu samrah,0,SY,1563081908,54,35.3,37.18,298.797,2.49
513,aqtobe,0,KZ,1563081908,61,50.28,57.21,299.15,3.0
514,agbor,37,NG,1563081909,99,6.26,6.15,294.097,0.78
515,douglas,90,US,1563081909,87,58.28,-134.39,288.71,3.1
516,shimanovsk,91,RU,1563081910,71,52.0,127.67,298.397,0.63
517,vardo,1,US,1563081910,88,39.62,-77.74,297.15,1.5
518,kewanee,1,US,1563081910,94,41.25,-89.92,299.15,1.62
519,ripoll,20,ES,1563081911,93,42.2,2.19,295.93,0.78
520,matay,0,EG,1563081912,35,28.42,30.79,300.397,4.65
521,livingston,1,US,1563081912,94,32.58,-88.19,297.15,2.56
522,pyaozerskiy,92,RU,1563081913,89,65.83,31.17,280.997,4.19
523,otake,90,JP,1563081913,88,34.2,132.22,298.71,1.5
524,soledade,75,BR,1563081914,94,-7.06,-36.37,294.15,1.0
525,dickinson,1,US,1563081617,78,46.88,-102.79,297.04,3.1
526,baoying,1,CN,1563081915,47,33.24,119.31,305.897,0.61
527,the pas,75,CA,1563081915,93,53.82,-101.24,289.15,1.0
528,boddam,90,GB,1563081916,82,57.47,-1.78,286.15,4.1
529,kang,0,BW,1563081916,27,-23.67,22.79,282.297,4.45
530,tucupita,3,VE,1563081917,98,9.06,-62.05,295.597,1.77
531,le pradet,0,FR,1563081917,82,46.44,1.83,288.15,4.6
532,basoko,0,CD,1563081918,77,1.23,23.61,296.397,0.92
533,whitehorse,75,CA,1563081856,67,60.72,-135.06,290.15,1.47
534,sorong,50,ID,1563081919,66,-0.86,131.25,300.597,5.61
535,willemstad,35,GY,1563081919,97,6.33,-57.57,295.697,1.37
536,jambi,20,ID,1563081920,49,-1.6,103.62,306.297,1.99
537,kollam,40,IN,1563081920,78,8.88,76.6,301.15,3.6
538,tallahassee,1,US,1563081922,100,30.44,-84.28,300.15,1.33
539,rafai,100,CF,1563081922,96,4.95,23.92,294.197,0.72
540,kiunga,67,PG,1563081923,61,-6.12,141.3,301.897,1.0
541,plettenberg bay,0,ZA,1563081923,64,-34.05,23.37,285.497,2.31
542,haines junction,100,CA,1563081924,77,60.75,-137.51,282.597,2.46
